RTE_NBR,BIN_START,BIN_END,AADT_WT,URBAN,CRASH_COUNT,CRASHRATE
2.0,255.0,258.0,5955.71333333333,0,4.0,61.335524933419926
2.0,258.0,261.0,6276.0,0,3.0,43.654015732907276
2.0,261.0,264.0,6139.499999999999,0,4.0,59.4994386599834
2.0,264.0,267.0,8093.44999999999,0,7.0,78.98602034888643
2.0,267.0,270.0,18897.746666666604,0,31.0,149.80887818250525
2.0,270.0,273.0,22152.206666666712,1,28.0,115.43218533702604
2.0,273.0,276.0,20961.826666666562,1,21.0,91.4905103297975
2.0,276.0,279.0,19697.64333333335,1,50.0,231.81504347451192
2.0,279.0,282.0,33713.52666666675,1,248.0,671.7897552046062
2.0,282.0,285.0,40108.01666666664,1,256.0,582.9008107803045
2.0,285.0,288.0,24203.48000000001,1,80.0,301.8547776212081
2.0,288.0,291.0,23971.41666666663,1,41.0,156.19820428258353
2.0,291.0,294.0,18828.566666666637,0,8.0,38.802401703755315
2.0,294.0,297.0,14830.009999999975,0,24.0,147.79361726106805
2.0,297.0,300.0,12201.670000000013,0,11.0,82.33022283389577
2.0,300.0,303.0,11008.94333333333,0,22.0,182.50002377684973
2.0,303.0,306.0,9346.019999999986,0,18.0,175.88616506687964
2.0,306.0,309.0,7009.719999999995,0,7.0,91.19756657793671
2.0,309.0,312.0,6268.0,0,22.0,320.5380376661334
2.0,312.0,315.0,5282.856666666666,0,8.0,138.29517880274426
2.0,315.0,318.0,4155.399999999998,0,8.0,175.81787729362674
2.0,318.0,321.0,4701.973333333335,0,12.0,233.07031607131697
2.0,321.0,324.0,5374.0,0,5.0,84.96855313848346
3.0,0.0,3.0,12318.343333333332,1,64.0,474.47523585672815
3.0,3.0,6.0,9215.0,0,6.0,59.46231204334802
3.0,6.0,9.0,11961.699999999999,0,31.0,236.6762440380968
3.0,9.0,12.0,7528.986666666667,0,12.0,145.55616306385244
3.0,12.0,15.0,6358.0,0,4.0,57.45467185482353
3.0,15.0,18.0,6358.0,0,9.0,129.27301167335295
3.0,18.0,21.0,6680.066666666667,0,9.0,123.0403601090575
3.0,21.0,24.0,8796.876666666665,0,21.0,218.0101292592957
3.0,24.0,27.0,12991.876666666665,0,46.0,323.34922427238246
3.0,27.0,30.0,15562.12,0,19.0,111.49893570744848
3.0,30.0,33.0,14255.376666666665,0,21.0,134.53227256088513
3.0,33.0,36.0,43725.426666666666,1,34.0,71.01183608157423
3.0,36.0,39.0,52618.95999999997,1,31.0,53.802854110201025
